Category,Description,IsEssential,Price,Account_ID,Date
Quality Assurance,libero,1,48192.99,2,2019-11-15
Public Relations,Vivamus,1,90430.92,1,2019-12-12
Sales and Marketing,sed pede. Cum sociis natoque,0,25769.11,1,2015-12-17
Tech Support,turpis. In condimentum. Donec at,1,46095.31,2,2016-02-24
Quality Assurance,sed consequat,1,69795.04,2,2016-04-18
Customer Service,ligula consectetuer rhoncus. Nullam velit,0,6053.04,2,2016-08-26
Sales and Marketing,vel turpis.,1,84532.57,1,2016-10-20
Human Resources,"enim, condimentum eget, volutpat",1,13067.28,2,2017-01-29
Payroll,turpis non,0,13095.83,2,2017-03-13
Legal Department,torquent per,0,20771.2,1,2017-03-28
Media Relations,Morbi sit amet massa.,1,35007.35,1,2017-04-23
Customer Service,"pretium et, rutrum non, hendrerit",1,29591.97,2,2017-05-05
Payroll,Vestibulum ante ipsum primis in,0,38351.66,1,2017-07-04
Asset Management,"dapibus id,",0,64443.73,2,2017-07-21
Finances,imperdiet ornare. In faucibus. Morbi,0,73711.96,2,2017-11-16
Media Relations,Duis sit amet diam eu,0,45210.87,2,2017-11-18
Asset Management,imperdiet,1,98903.31,1,2018-04-26
Customer Service,non ante bibendum ullamcorper. Duis,0,10466.84,1,2018-05-18
Tech Support,nec mauris blandit,0,14597.1,2,2018-07-29
Legal Department,metus eu erat semper,0,63927.52,1,2018-10-13
Human Resources,Sed eget lacus.,0,4768.33,1,2018-10-15
Customer Service,metus vitae velit egestas lacinia.,0,5959.32,1,2018-11-17
Media Relations,"at, nisi. Cum sociis",1,87899.08,1,2019-02-13
Customer Service,magna. Cras convallis convallis,0,6080.65,2,2019-03-21
Accounting,sem,0,23213.7,2,2019-04-23
Sales and Marketing,"ante,",1,32133.29,1,2019-11-09
Advertising,dictum,0,21337.29,2,2019-12-26
Finances,Aenean eget,1,95728.13,1,2016-02-03
Media Relations,"adipiscing, enim mi tempor",0,48663.22,2,2016-02-16
Finances,Duis at lacus. Quisque purus,0,93835.25,2,2016-05-30
Quality Assurance,"nec,",0,51778.83,2,2016-08-06
Legal Department,nascetur,1,1850.24,1,2016-10-03
Asset Management,Sed neque. Sed,1,61002.43,2,2016-11-24
Accounting,"non, egestas",0,14742.75,1,2017-02-16
Finances,Suspendisse ac metus,1,39331.37,2,2017-03-07
Customer Service,pharetra. Quisque,1,74979.52,1,2017-05-28
Research and Development,ipsum.,0,38822.9,2,2017-06-18
Sales and Marketing,non lorem vitae,1,34711.29,2,2017-07-25
Advertising,lacus. Ut nec,0,14849.33,2,2017-09-01
Media Relations,Praesent eu dui. Cum sociis,1,97163.36,1,2017-09-30
Tech Support,adipiscing elit.,1,42470.04,1,2017-12-12
Legal Department,tincidunt,1,63529.57,1,2017-12-31
Tech Support,nec tellus. Nunc lectus,1,4126.72,2,2018-01-11
Quality Assurance,"dolor elit, pellentesque",0,9005.79,1,2018-01-15
Asset Management,mus. Donec,0,50192.72,1,2018-02-16
Customer Relations,magnis dis parturient,1,17232.53,2,2018-05-02
Tech Support,Suspendisse,1,35841.52,1,2019-02-23
Customer Relations,libero,0,90965.08,2,2019-06-02
Asset Management,magna,0,23410.34,2,2019-07-14
Quality Assurance,amet,1,16297.36,1,2019-11-25
Human Resources,Aenean massa. Integer vitae nibh.,0,35512.43,2,2019-12-16
Asset Management,fringilla.,1,13704.51,1,2019-12-31
