ID,Category_ID,Category,Description,Account_ID,AccountType,Amount,Frequency_ID,FrequencyType,Times
56,13,Debt Payments,sed consequat,2,Savings,-114.8,4,Per Day,23
57,2,Investment,mus. Donec,2,Savings,990.3,4,Per Day,7
58,5,Housing,arcu. Curabitur ut odio,3,TestType,-33.59,1,Per Year,344
59,10,Medical,Sed neque. Sed,1,Checking,-818.39,2,Per Month,19
60,14,Personal Spending,metus vitae velit egestas lacinia.,1,Checking,-870.28,4,Per Day,21
61,12,Saving,Phasellus at,3,TestType,-977.13,2,Per Month,1
62,17,Miscellaneous,tincidunt,1,Checking,-520.33,1,Per Year,20
63,7,Food,Morbi sit amet massa.,2,Savings,-103.79,1,Per Year,364
64,3,Refund,consectetuer euismod est arcu ac,3,TestType,900.61,4,Per Day,8
65,13,Debt Payments,Integer in magna.,3,TestType,-692.83,1,Per Year,239
66,7,Food,ornare,2,Savings,-484.75,3,Per Week,5
67,10,Medical,"auctor, nunc nulla vulputate dui,",3,TestType,-404.91,3,Per Week,2
68,3,Refund,Mauris magna. Duis,2,Savings,662.07,4,Per Day,9
69,5,Housing,ornare tortor at risus. Nunc,1,Checking,-228.83,3,Per Week,1
70,17,Miscellaneous,non lorem vitae,3,TestType,-65.14,2,Per Month,24
71,5,Housing,nec tellus. Nunc lectus,2,Savings,-288.61,2,Per Month,28
72,1,Paycheck,"quam, elementum at,",2,Savings,67.36,2,Per Month,23
73,17,Miscellaneous,ornare tortor at risus. Nunc,2,Savings,-709.32,3,Per Week,4
74,4,Bonus,"nec,",2,Savings,150.26,1,Per Year,138
75,9,Insurance,neque pellentesque massa lobortis,3,TestType,-8.22,2,Per Month,7
76,4,Bonus,Phasellus at,2,Savings,487.39,4,Per Day,6
77,11,Healthcare,sociosqu ad litora torquent,2,Savings,-707.84,2,Per Month,28
78,12,Saving,risus. Morbi metus. Vivamus,3,TestType,-498.54,2,Per Month,7
79,4,Bonus,sollicitudin commodo ipsum. Suspendisse,3,TestType,848.77,1,Per Year,312
80,10,Medical,turpis. In condimentum. Donec at,1,Checking,-703.8,1,Per Year,326
81,12,Saving,metus eu erat semper,2,Savings,-128.85,4,Per Day,3
82,7,Food,Integer in magna.,1,Checking,-172.56,1,Per Year,25
83,4,Bonus,Suspendisse,2,Savings,144.89,2,Per Month,1
84,14,Personal Spending,sem,2,Savings,-380.63,4,Per Day,11
85,7,Food,Duis sit amet diam eu,2,Savings,-835.85,3,Per Week,7
86,16,Entertainment,Lorem ipsum dolor sit,2,Savings,-563.01,4,Per Day,18
87,4,Bonus,"feugiat non, lobortis quis,",1,Checking,214.0,1,Per Year,72
88,7,Food,Phasellus ornare. Fusce mollis. Duis,2,Savings,-300.48,2,Per Month,17
89,10,Medical,nec tempus,2,Savings,-835.87,2,Per Month,3
90,16,Entertainment,ornare. In faucibus. Morbi,2,Savings,-416.64,1,Per Year,71
91,11,Healthcare,"lobortis quis,",2,Savings,-47.55,4,Per Day,3
92,10,Medical,mus. Donec,3,TestType,-921.97,4,Per Day,12
93,1,Paycheck,lacus. Ut nec,3,TestType,73.46,1,Per Year,89
94,1,Paycheck,erat vel,3,TestType,485.5,2,Per Month,1
95,3,Refund,"ac, feugiat non, lobortis",2,Savings,303.66,3,Per Week,2
96,12,Saving,torquent per,3,TestType,-920.74,2,Per Month,25
97,3,Refund,"urna convallis erat,",2,Savings,587.92,2,Per Month,1
98,1,Paycheck,Suspendisse,1,Checking,62.54,4,Per Day,5
99,6,Transportation,"urna convallis erat,",3,TestType,-360.33,1,Per Year,194
100,13,Debt Payments,velit. Quisque varius. Nam,2,Savings,-724.71,1,Per Year,116
